trt,time,conc
R,0,0
R,0.25,232.44
R,0.5,389.14
R,0.75,502.87
R,1,569.75
R,1.5,647.44
R,1.75,688.6
R,2,649.93
R,2.25,651.57
R,2.5,661.07
R,2.75,605.7
R,3,631.53
R,3.25,610.52
R,3.5,570.68
R,3.75,577.12
R,4,544.44
R,6,397.27
R,8,308.15
R,12,163.6
R,24,27.49
T,0,0
T,0.25,202.92
T,0.5,344
T,0.75,427.5
T,1,520.84
T,1.5,559.58
T,1.75,553.97
T,2,576.77
T,2.25,569.9
T,2.5,582.17
T,2.75,538.93
T,3,533.62
T,3.25,516.38
T,3.5,481.66
T,3.75,483.78
T,4,490.83
T,6,357.08
T,8,261.66
T,12,147.51
T,24,24.06
