trt,time,conc
R,0,0
R,0.5,63.15
R,1,116.88
R,1.5,166.24
R,2,213.65
R,2.5,273.23
R,2.75,287.26
R,3,327.76
R,3.25,341.85
R,3.5,361.03
R,4,392.93
R,4.5,380.71
R,5,383.28
R,6,390.89
R,8,397.26
R,10,387.89
R,12,369.19
R,24,315.05
R,48,189.83
R,72,34.39
T,0,0
T,0.5,191.98
T,1,338.61
T,1.5,414.11
T,2,470.47
T,2.5,551.51
T,2.75,569.75
T,3,567.95
T,3.25,585.49
T,3.5,539.7
T,4,524.05
T,4.5,528.5
T,5,523.38
T,6,484.69
T,8,485.84
T,10,459.27
T,12,352.45
T,24,258.51
T,48,143.19
T,72,23.96
