trt,time,conc
A,0,0
A,0.5,203.21
A,1,350.86
A,1.5,438.96
A,2,500.61
A,2.5,566.3
A,2.75,574.94
A,3,590.49
A,3.25,587.42
A,3.5,567.83
A,4,547.8
A,4.5,543.44
A,5,550.92
A,6,533.57
A,8,489.12
A,10,469.19
A,12,360.07
A,24,266.79
A,48,149.82
A,72,24.02
B,0,0
B,0.5,201.93
B,1,331.8
B,1.5,432.05
B,2,517.49
B,2.5,573.08
B,2.75,570.38
B,3,578.43
B,3.25,585.06
B,3.5,587.71
B,4,588.71
B,4.5,518.63
B,5,556.32
B,6,507.68
B,8,501.3
B,10,486.18
B,12,368.36
B,24,273.6
B,48,146.13
B,72,24.08
